Time remaining;$ age;list price multiplier;highest open offer multiplier
0;7,06;5,88304506;
0;2,5;7,05649904;
0,21;11;;4,71773522
0,24;5,94;8,809095;4,49572265
0,24;18,62;;4,01876091
0,91;5,11;5,48330317;
1,2;6;7,87652174;
1,26;12,65;;4,72085106
1,69;12,22;7,29333482;
1,71;6,18;;3,73056653
1,99;5,52;7,24902534;
2,16;9,96;6,93197279;
2,16;5,21;8,375;
2,26;12,53;15,117158;
2,26;3,5;9,52315191;
2,33;7,23;8,46721773;
2,34;9,21;;4,05041628
2,41;4,31;;3,17180365
2,46;6,63;6,37293109;
2,47;11,56;;3,01190198
2,48;11,09;;3,86721253
2,49;8,87;13,1917476;
2,53;4,19;15,6163056;
2,56;8,17;;4,01716738
2,62;5;8,9831405;
2,63;12,75;;3,10361795
2,68;11,57;;2,74502174
2,68;6,48;6,96260261;
2,7;17,81;7,46773066;
2,7;9,28;;3,52834302
2,71;7;5,90044343;
2,71;26,84;;2,95403194
2,75;7,93;7,98981413;
2,77;17,14;;3,37462462
2,78;11,35;;3,84215413
2,79;5,23;10;
2,79;8,75;;2,15453802
2,8;5,25;7,25634179;
2,8;15,07;13,3322511;
2,87;11,34;8,06451613;3,33333333
2,87;6;6,51573491;
2,87;6;5,49330803;
2,88;4,85;22,9885057;
2,88;10,07;6,71050665;
2,89;6,09;5,35790827;
2,89;5,75;;4,4059754
2,9;15,71;9,225;
2,9;29,43;;3,80942364
2,93;9,79;7,47114151;
2,96;9,68;7,64505495;
3;4,86;7,34765814;
3,01;12,64;;1,93663705
3,05;7,3;68,0933852;
3,07;7,73;7,81152344;
3,07;7,06;;3,60385925
3,07;7,44;;2,59878696
3,1;19,35;35,1288056;
3,11;5,18;8,26238667;
3,11;7,5;5,42547351;
3,19;7,89;8,04306673;
3,29;6,82;;3,35471434
3,32;4,8;20,8749512;
3,41;6,5;;2,24838354
3,47;8,75;;3,52685308
3,49;8,83;6,21442373;
3,52;6;16,1097708;
3,53;9,56;;2,42651391
3,54;8,2;;3,35761589
3,55;8,25;6,96457669;
3,59;7,83;;2,56380338
3,59;13,53;;2,40368692
3,61;7,05;22,1828571;
3,63;12,25;;3,73972603
3,7;8,53;;3,0256776
3,71;7,4;8,07897394;
3,75;8,17;6,35416327;
3,81;5,27;;3,34294872
3,84;6,05;7,60382916;
3,92;8,29;9,4291388;
3,94;7,77;4,83761182;
4,02;7,7;17,9408528;
4,05;11,77;6,03777513;
4,11;3,97;5,77623304;
4,12;9,78;8,9022113;
4,16;7,6;15,4496705;
;9,000470588;;